genre,median_roi,n,parent_genre
Action,85.14340166666668,852,act-ad
Action Epic,127.8236105882353,63,act-ad
Adult Animation,388.53888679245284,11,animation
Adventure,148.88970787878787,629,act-ad
Adventure Epic,116.12164599999998,49,act-ad
Alien Invasion,140.56545359848485,36,act-ad
Animal Adventure,264.18190893181816,62,act-ad
Animation,185.7732062962963,190,animation
Anime,550.8356391304347,9,animation
Artificial Intelligence,97.11208548,22,scifi
B-Action,-75.05156667,3,act-ad
B-Horror,-79.6542,9,horror
Baseball,91.81144433333334,4,sports
Basketball,9.128152,7,sports
Biography,14.806243333333338,309,drama
Body Horror,8.651596381578944,16,horror
Body Swap Comedy,203.2359975,6,comedy
Boxing,189.31585166666667,12,sports
Buddy Comedy,120.0147128030303,50,comedy
Buddy Cop,160.78563853535354,24,comedy
Bumbling Detective,-14.79759821,6,mystery
Caper,225.7603333333333,27,mystery
Car Action,193.96146809090908,22,act-ad
Comedy,104.07188866666667,990,comedy
Coming-of-Age,163.65976666666666,67,drama
Computer Animation,225.58598750000002,145,animation
Concert,172.72463333333334,5,?
Conspiracy Thriller,105.41629838435372,32,thriller
Contemporary Western,89.68269988,14,western
Cop Drama,51.33259696969697,13,drama
Costume Drama,109.239848,18,drama
Cozy Mystery,-55.9417075,4,mystery
Crime,34.06447429,459,mystery
Crime Documentary,-27.3676,3,documentary
Cyber Thriller,125.86888333333333,17,thriller
Cyberpunk,111.31391907843138,20,scifi
Dark Comedy,30.875629166666663,181,comedy
Dark Fantasy,127.8236105882353,51,fantasy
Dark Romance,16.81781000000001,11,romance
Desert Adventure,89.20145909722223,12,act-ad
Dinosaur Adventure,228.11147624999995,11,act-ad
Disaster,106.2216225,28,act-ad
Docudrama,91.88873125,111,documentary
Documentary,-77.78838462,155,documentary
Drama,24.527031,1578,drama
Drug Crime,116.67926571428573,17,drama
Dystopian Sci-Fi,153.6248446666667,45,scifi
Epic,209.18762772727274,48,act-ad
Erotic Thriller,221.816235,9,thriller
Extreme Sport,27.411886666666657,3,sports
